Image,PSNR,SSIM
COVID-1.png,31.385311126708984,0.9161083
COVID-10.png,32.537086486816406,0.86516017
COVID-100.png,28.080120086669922,0.87779576
COVID-1000.png,28.065757751464844,0.8867316
COVID-1001.png,27.885923385620117,0.8609007
COVID-1002.png,28.302886962890625,0.8168633
COVID-1003.png,29.332868576049805,0.8581535
COVID-1004.png,31.16291046142578,0.9106323
COVID-1005.png,28.558712005615234,0.8313327
COVID-1006.png,29.710243225097656,0.84457064
COVID-1007.png,27.042734146118164,0.8564293
COVID-1008.png,31.463987350463867,0.8671243
COVID-1009.png,26.95958709716797,0.8372874
COVID-101.png,29.00087547302246,0.81707
COVID-1010.png,29.898996353149414,0.8783893
COVID-1011.png,28.65105628967285,0.8574292
COVID-1012.png,30.55229377746582,0.88067204
COVID-1013.png,32.071754455566406,0.8956955
COVID-1014.png,28.67479705810547,0.8156743
COVID-1015.png,28.23124122619629,0.8873944
COVID-1016.png,27.917118072509766,0.85497123
COVID-1017.png,26.948394775390625,0.7755949
COVID-1018.png,29.282867431640625,0.8707209
COVID-1019.png,30.294361114501953,0.8769105
COVID-102.png,32.548336029052734,0.91357297
COVID-1020.png,31.776897430419922,0.8264703
COVID-1021.png,24.994091033935547,0.8625575
COVID-1022.png,32.08464813232422,0.9049828
COVID-1023.png,31.39679718017578,0.8688357
COVID-1024.png,28.608230590820312,0.88318616
COVID-1025.png,31.694419860839844,0.8917009
COVID-1026.png,32.60279083251953,0.8783186
COVID-1027.png,27.822341918945312,0.87953854
COVID-1028.png,27.109792709350586,0.8711241
COVID-1029.png,30.83213996887207,0.8636997
COVID-103.png,25.671794891357422,0.83122444
COVID-1030.png,29.564674377441406,0.85929507
COVID-1031.png,30.135028839111328,0.8871815
COVID-1032.png,32.30424118041992,0.87972975
COVID-1033.png,28.90311050415039,0.892498
COVID-1034.png,26.89398765563965,0.8727334
COVID-1035.png,33.34718322753906,0.87184876
COVID-1036.png,28.918554306030273,0.8862966
COVID-1037.png,30.131553649902344,0.8327392
COVID-1038.png,24.983129501342773,0.883378
COVID-1039.png,29.269424438476562,0.8392871
COVID-104.png,34.432823181152344,0.9119203
COVID-1040.png,30.013832092285156,0.8194186
COVID-1041.png,29.27944564819336,0.89267397
COVID-1042.png,31.950532913208008,0.893585
